"Citation","PubData"
"McConnell et al. 1973","McConnell, E. E., P. A. Basson, B. Wolstenholme, V. De Vos, and H. Malherbe. 1973. Toxoplasms in Free- Ranging Chacma Baboons (Papio Ursinus) from the Kruger National Park. Transactions of the Royal Society of Tropical Medicine and Hygeine 67:851- 855."
"McConnell et al. 1974","McConnell, E. E., P. A. Basson, V. de Vos, B. J. Myers, and R. E. Kuntz. 1974. A survey of diseases among 100 free-ranging baboons (Papio ursinus) from the Kruger National Park. Onderstpoort Journal of Veterinary Research 41:97-168."
"McCoy 1936","McCoy, O.R. 1936. Filarial parasites of the monkeys of Panama. American Journal of Tropical Medicine 16(4):383-403"
"McDonald et al. 2008","McDonald, R. A., R. J. Birtles, C. McCracken and M. J. Day. 2008. Histological and serological evidence of disease among invasive, non-native stoats mustela erminea. Veterinary Journal 175: 403-408"
"McFadden et al. 2005","McFadden, K. W., S. E. Wade, E. J. Dubovi and M. E. Gompper. 2005. A serological and fecal parasitologic survey of the critically endangered pygmy raccoon (procyon pygmaeus). Journal of Wildlife Diseases 41: 615-617"
"McGee et al. 2006","McGee, B. K., M. J. Butler, D. B. Pence, J. L. Alexander, J. B. Nissen, W. B. Ballard and K. L. Nicholson. 2006. Possible vector dissemination by swift foxes following a plague epizootic in black-tailed prairie dogs in northwestern texas. Journal of Wildlife Diseases 42: 415-420"
"McGrew et al. 1989a","McGrew, W. C., C. E. G. Tutin, D. A. Collins, and S. K. File. 1989. Intestinal parasites of sympatric Pan troglodytes and Papio spp. at two sites:  Gombe (Tanzania) and Mt. Assirik (Senegal). American Journal of Primatology 17:147-155."
"McGrew et al. 1989b","Mcgrew, W. C., C. E. G. Tutin, and S. K. File. 1989. Intestinal Parasites of two Species of Free-Living Monkeys in Far Western Africa, Cercopithecus (aethiops) Sabaeus and Erythrocebus patas patas. African Journal of Ecology 27:261-262."
"McInerney et al 1995","McInerney, J., K. J. Small, et al. (1995). ""Prevalence of Mycobacterium bovis infection in feral pigs in the Northern Territory."" Australian Veterinary Journal 72(12): 448-451."
"McIntosh et al 2007b","McIntosh, T., Rosatte, R., Campbell, D., Welch, K., Fournier, D., Spinato, M., Ogunremi, O. (2007) Evidence of Parelaphostrongylus tenuis infections in free-ranging elk (Cervus elaphus) in southern Ontario. Canadian Veterinary Journal 48: 1146-1154."
"McKeever 1957","McKeever, S. (1958). Observations on Paragonimus kellicotti Ward from Georgia. The Journal of parasitology, 44(3), 324-327."
"McKenna et al. 1996","McKenna, P. B., M. M. Cooke, and P. R. Harper. 1996. Filaroides infections in wild ferrets (Mustela putorius) and stoats (Mustela erminea). New Zealand Veterinary Journal 44:203."
"McKenzie and Davidson 1989","McKenzie, M. E. and W. R. Davidson (1989). ""Helminth Parasites of Intermingling Axis Deer, Wild Swine and Domestic Cattle from the Island of Molokai, Hawaii USA."" Journal of Wildlife Diseases 25(2): 252-257."
"McKenzie et al 1985","McKenzie, R. A., P. E. Green, et al. (1985). ""Diseases of Deer in Southeastern Queensland Australia."" Australian Veterinary Journal 62(12): 424."
"McKinny et al 2006","McKinny, T., Smith, T. W., deVos Jr., J. C. (2006) Evaluation of factors potentially influencing a desert bighorn sheep population. Wildlife Monographs 164: 1-36."
"McKown et al. 1991","McKown, R. D., J. K. Veatch, and L. B. Fox. 1991. New Locality Record for Heterobilharzia-Americana. Journal of Wildlife Diseases 27:156-160."
"McLaughlin et al. 1993","McLaughlin, G. S., M. Obstbaum, D. J. Forrester, M. E. Roelke, and J. R. Brady. 1993. Hookworms of bobcats (Felis rufus) from Florida. Journal of the Helminthological Society of Washington 60:10-13."
"Mclean et al 1996","McLean, R., G., J. Kirk Larry, et al. (1996). ""The role of deer as a possible reservoir host of Potosi virus, a newly recognized arbovirus in the United States."" Journal of Wildlife Diseases 32(3): 444-452."
"Mcmahon and Bunch 1989","McMahon, D. C. and T. D. Bunch (1989). ""Bot Fly Larvae (Cephenemyia-Spp Oestridae) in Mule Deer Odocoileus-Hemionus from Utah USA."" Journal of Wildlife Diseases 25(4): 636-638."
"McNeil and Krogsdale 1952","McNeil, C. W., and Krogsdale, J. T. (1953). Parasites of raccoons in southwest Washington. Journal of Mammalogy, 34(1), 123-124."
"McNeill and Rau 1987","McNeill, M. A. and M. E. Rau (1987). ""Echinococcus-Granulosus (Cestoda: Taeniidae) Infections in Moose (Alces-Alces) from Southwestern Quebec Canada."" Journal of Wildlife Diseases 23(3): 418-421."
"McOrist et al. 1991","McOrist, S., R. Boid, T. W. Jones, N. Easterbee, A. L. Hubbard, and O. Jarrett. 1991. Some viral and protozool diseases in the European wildcat (Felis silvestris). Journal of Wildlife Diseases 27:693-696."
"Meagher et al 1992","Meagher, M, Quinn, W. J. and L. Stackhouse (1992) Chlamydial-caused infectious keratoconjunctivitis in bighorn sheep of Yellowstone National Park.  Journal of Wildlife Diseases, 28: 171-176."
"Measures and Gosselin 1994","Measures, L. N., and J. F. Gosselin. 1994. Helminth-Parasites of Ringed Seal, Phoca-Hispida, from Northern Quebec, Canada. Journal of the Helminthological Society of Washington 61:240-244."
"Measures and Olson 1999","Measures, L. N., and M. Olson. 1999. Giardiasis in pinnipeds from eastern Canada. Journal of Wildlife Diseases 35:779-782."
"Measures et al. 1997","Measures, L. N., J. F. Gosselin, and E. Bergeron. 1997. Heartworm, Acanthocheilonema spirocauda (Leidy, 1858), infections in Canadian phocid seals. Canadian Journal of Fisheries and Aquatic Sciences 54:842-846."
"Measures et al. 2004","Measures, L. N., J. R. Dubey, P. Labelle and D. Martineau. 2004. Seroprevalence of toxoplasma gondii in canadian pinnipeds. Journal of Wildlife Diseases 40: 294-300"
"Mebatsion et al. 1992","Mebatsion, T., C. SilleroZubiri, D. Gottelli, and J. H. Cox. 1992. Detection of rabies antibody by elisa and rffit in unvaccinated dogs and in the endangered simien jackal (Canis simensis) of Ethiopia. Journal of Veterinary Medicine Series B-Zentralblatt fur Veterinarmedizin Reihe B-Infectious Diseases and Veterinary Public Health 39:233-235."
"Mech and Goyal 1993","Mech, L. D., and S. M. Goyal. 1993. Canine parvovirus effect on wolf population-change and pup survival. Journal of Wildlife Diseases 29:330-333."
"Mech and Goyal 1995","Mech, L. D., and S. M. Goyal. 1995. Effects of canine parvovirus on gray wolves in Minnesota. Journal of Wildlife Management 59:565-570."
"Mech and Kurtz 1999","Mech, L. D., and H. J. Kurtz. 1999. First record of coccidiosis in wolves, Canis lupus. Canadian Field-Naturalist 113:305-306."
"Mech and Tracy 2001","Mech, L. D., and S. P. Tracy. 2001. Prevalence of giant kidney worm (Dioctophyma renale) in wild mink (Mustela vison) in Minnesota. American Midland Naturalist 145:206-209."
"Mech et al. 1986","Mech, L. D., S. M. Goyal, C. N. Bota, and U. S. Seal. 1986. Canine parvovirus infection in wolves (Canis lupus) from Minnesota. Journal of Wildlife Diseases 22:104-106."
"Mech et al. 1997","Mech, L. D., H. J. Kurtz, and S. Goyal. 1997. Death of a wild wolf from canine parvoviral enteritis. Journal of Wildlife Diseases 33:321-322."
"Mech et al. 2008","Mech, L. D., S. M. Goyal, W. J. Paul and W. E. Newton. 2008. Demographic effects of canine parvovirus on a free-ranging wolf population over 30 years. Journal of Wildlife Diseases 44: 824-836"
"Meder 1994","Meder, A. 1994. Causes of death and disease in gorillas. Gorilla Journal 2."
"Megid et al. 2009","Megid, J., V. A. F. de Souza, C. R. Teixeira, A. Cortez, R. L. Amorin, M. B. Heinemman, D. Q. Cagnini and L. J. Richtzenhain. 2009. Canine distemper virus in a crab-eating fox (cerdocyon thous) in brazil: Case report and phylogenetic analyses. Journal of Wildlife Diseases 45: 527-530"
"Meli et al. 2009","Meli, M. L., V. Cattori, F. Martinez, G. Lopez, A. Vargas, M. A. Simon, I. Zorrilla, A. Munoz, F. Palomares, J. V. Lopez-Bao, J. Pastor, R. Tandon, B. Willi, R. Hofmann-Lehmann and H. Lutz. 2009. Feline leukemia virus and other pathogens as important threats to the survival of the critically endangered iberian lynx (lynx pardinus). Plos One 4:"
"Mellish et al. 2010","Mellish, J., P. Tuomi, A. Hindle, S. Jang and M. Horning. 2010. Skin microbial flora and effectiveness of aseptic technique for deep muscle biopsies in weddell seals (leptonychotes weddellii) in mcmurdo sound, antarctica. Journal of Wildlife Diseases 46: 655-658"
"Melton and Melton 1982","Melton, D. A., and C. L. Melton. 1982. Blood Parameters of the Wild Chacma Baboon, Papio-Ursinus. South African Journal of Zoology 17:85-90."
"Meltzer 1993","Meltzer, D. G. A. 1993. Historical survey of disease problems in wildlife populations - Southern Africa mammals. Journal of Zoo and Wildlife Medicine 24:237-244."
"Mendez-Hermida et al. 2007","Mendez-Hermida, F., H. Gomez-Couso, R. Romero-Suances and E. Ares-Mazas. 2007. Cryptosporidium and giardia in wild otters (lutra lutra). Veterinary Parasitology 144: 153-156"
"Menezes-Costa et al. 2013","Menezes-Costa, A., E. Machado-Ferreira, C.M. Voloch, C.R. Bonvicino, H.N. Seuanez, O. Leoncini, and C.A.G. Soares. 2013. Identification of bacterial infection in neotropical primates. Host Microbe Interactions 66:471-478."
"Mertins et al 1992","Mertins, J. W., Schlater, J. L., and J. L. Corn (1992) Ectoparasites of the balckbuck antelope (Antilope cervicapra). Journal of Wildlife Diseases, 28: 481-484."
"Meshgi et al. 2009","Meshgi, B., A. Eslami, A. R. Bahonar, M. Kharrazian-Moghadam and A. Gerami-Sadeghian. 2009. Prevalence of parasitic infections in the red fox (vulpes vulpes) and golden jackal (canis aureus) in iran. Iranian Journal of Veterinary Research 10: 387-391"
"Messner and Wrangham 1996","Messner, E. J., and R. W. Wrangham. 1996. In vitro testing of the biological activity of Rubia cordifolia leaves on primate Strongyloides species. Primates 37:105-108."
"Metzger et al. 2008","Metzger, B., K. D. Paduan, A. S. Rubini, T. G. de Oliveira, C. Pereira and L. H. O'Dwyer. 2008. The first report of hepatozoon sp (apicomplexa : Hepatozoidae) in neotropical felids from brazil. Veterinary Parasitology 152: 28-33"
"Michaud et al. 2003","Michaud, C., M. Tantalean, C. Ique, E. Montoya, A. Gozalo. 2003. A survey for helminth parasites in feral New World non-human primate populations and its comparison with parasitological data from man in the region. Journal of Medical Primatology 32:341-345."
"Michel 1993","Michel, A (1993) Generation of a nucleic acid probe specific for the alcelaphine herpesvirus 1 and its use for the detection of malignant catarrhal fever virus DNA in blue wildebeest calves (Connochaetes taurinus). Onderstepoort Journal of Veterinary Research, 60: 87-93"
"Michel et al 2009","Michel, A.L., Coetzee, M.L., Keet, D.F., Mare, L., Warren, R., Cooper, D., Bengis, R.G., Kremer, K., van Helden, P. (2009) Molecular epidemiology of Mycobacterium isolates from free-ranging wildlife in South African game reserves. Veterinary Microbiology 133: 335-343."
"Michel, 2002","Michel, A. L. 2002. Implications of tuberculosis in African wildlife and livestock, Pages 251-255 Domestic Animal/Wildlife Interface: Issue for Disease Control, Conservation, Sustainable Food Production, and Emerging Diseases. Annals of the New York Academy of Sciences."
"Mihok et al 1992","Mihok, S., Munyoki, E., Brett, R. A., Jonyo, J. F., Rottcher, D., Majiwa, P. O., Kang'ethe, E., Kaburia, H. F. and E. Zwegarth (1992) Trypanosomiasis and the conservation of black rhinoceros (Diceros bicornis) at the Ngulia Rhino Sanctuary, Tsavo West National Park, Kenya. African Journal of Ecology, 30: 103-115."
"Mihok et al 1994","Mihok, S., Zweygarth, E., Munyoki, E. N., Wambua, J and Kock, R (1994) Trypanosoma simiae in the white rhinoceros (Ceratotherium simum) and the dromedary camel (Camelus dromedarius). Veterinary Parasitology, 53: 191-196."
"Mihok et al 1996","Mihok, S., Moloo, S. K., Oden'y, J. O., Brett, R. A., Rakwar, J. G., Munyoki, E., Kiilu, J. and C. a. Kyorku (1996) Attractiveness of black rhinoceros (Diceros bicornis) to tstetse flies (Glossina spp. ) (Diptera: Glossinidae) and other biting flies. Bulletin of Entomological Research, 86: 33-41."
"Milanelo et al. 2009","Milanelo, L., M. B. Moreira, L. S. Fitorra, B. S. S. Petri, M. Alves and A. D. dos Santos. 2009. Occurrence of parasitism by dioctophyma renale in ring-tailed coatis (nasua nasua) of the tiete ecological park, sao paulo, brazil. Pesquisa Veterinaria Brasileira 29: 959-962"
"Millan and Casanova 2007","Millan, J. and J. C. Casanova. 2007. Helminth parasites of the endangered iberian lynx (lynx pardinus) and sympatric carnivores. Journal of Helminthology 81: 377-380"
"Millan and Ferroglio 2001","Millan, J., and E. Ferroglio. 2001. Helminth parasites in stone martens (Martes foina) from Italy. Zeitschrift fur Jagdwissenschaft 47:229-231."
"Millan and Rodriguez 2009","Millan, J. and A. Rodriguez. 2009. A serological survey of common feline pathogens in free-living european wildcats (felis silvestris) in central spain. European Journal of Wildlife Research 55: 285-291"
"Millan et al. 2004a","Millan, J., G. Aduriz, B. Moreno, R. A. Juste and M. Barral. 2004. Salmonella isolates from wild birds and mammals in the basque country (spain). Revue Scientifique Et Technique-Office International Des Epizooties 23: 905-911"
"Millan et al. 2004b","Millan, J., I. Sevilla, X. Gerrikagoitia, A. L. Garcia-Perez and M. Barral. 2004. Helminth parasites of the eurasian badger (meles meles l.) in the basque country (spain). European Journal of Wildlife Research 50: 37-40"
"Millan et al. 2007a","Millan, J., V. Naranjo, A. Rodriguez, J. M. Perez de la Lastra, A. J. Mangold and J. de la Fuente. 2007. Prevalence of infection and 18s rrna gene sequences of cytauxzoon species in iberian lynx (lynx pardinus) in spain. Parasitology 134: 995-1001"
"Millan et al. 2007b","Millan, J., F. Ruiz-Fons, F. J. Marquez, M. Viota, J. V. Lopez-Bao and M. P. Martin-Mateo. 2007. Ectoparasites of the endangered iberian lynx lynx pardinus and sympatric wild and domestic carnivores in spain. Medical and Veterinary Entomology 21: 248-254"
"Millan et al. 2008","Millan, J., M. A. Jimenez, M. Viota, M. G. Candela, L. Pena and L. Leon-Vizcaino. 2008. Disseminated bovine tuberculosis in a wild red fox (vulpes vulpes) in southern spain. Journal of Wildlife Diseases 44: 701-706"
"Millan et al. 2009b","Millan, J., M. G. Candela, J. V. Lopez-Bao, M. Pereira, M. A. Jimenez and L. Leon-Vizcaino. 2009. Leptospirosis in wild and domestic carnivores in natural areas in andalusia, spain. Vector-Borne and Zoonotic Diseases 9: 549-554"
"Millan et al. 2009c","Millan, J., M. G. Candela, F. Palomares, M. J. Cubero, A. Rodriguez, M. Barral, J. de la Fuente, S. Almeria and L. Leon-Vizcaino. 2009. Disease threats to the endangered iberian lynx (lynx pardinus). Veterinary Journal 182: 114-124"
"Miller 1960","Miller, J. H. 1960. Papio doguera (dog face baboon), a primate reservoir host of Schistosoma mansoni in East Africa. Transactions of the Royal Society of Tropical Medicine and Hygeine 54: 44-46."
"Miller and Harkema 1960","Miller, G. C., and Harkema, R. (1960). A new locality record for Heterobilharzia americana Price 1929. Journal of Parasitology, 46(2)."
"Miller and Williams 2002","Miller, M.W., Williams, E.S. (2002) Detection of PrPCWD in mule deer by immunohistochemistry of lymphoid tissues. Veterinary Record 151: 610-612."
"Miller et al 2000b","Miller, M., W., S. Williams Elizabeth, et al. (2000). ""Epizootiology of chronic wasting disease in free-ranging cervids in Colorado and Wyoming."" Journal of Wildlife Diseases 36(4): 676-690."
"Miller et al. 1998","Miller, D. S., B. G. Campbell, R. G. McLean, E. Campos, and D. F. Covell. 1998. Parasites of swift fox (Vulpes velox) from southeastern Colorado. Southwestern Naturalist 43:476-479."
"Miller et al. 2000a","Miller, D. S., Covell, D. F., McLean, R. G., Adrian, W. J., Niezgoda, M., Gustafson, J. M., ... and Quan, T. J. (2000). Serologic survey for selected infectious disease agents in swift and kit foxes from the western United States. Journal of Wildlife Diseases, 36(4), 798-805."
"Miller et al. 2001a","Miller, M. A., K. Sverlow, P. R. Crosbie, B. C. Barr, L. J. Lowenstine, F. M. Gulland, A. Packham et al. 2001a. Isolation and characterization of two parasitic protozoa from a Pacific harbor seal (Phoca vitulina richardsi) with meningoencephalomyelitis. Journal of Parasitology 87:816-822."
"Miller et al. 2001b","Miller, M. A., P. R. Crosbie, K. Sverlow, K. Hanni, B. C. Barr, N. Kock, M. J. Murray et al. 2001b. Isolation and characterization of Sarcocystis from brain tissue of a free-living southern sea otter (Enhydra lutris nereis) with fatal meningoencephalitis. Parasitology Research 87:252-257."
"Miller et al. 2002a","Miller, M. A., I. A. Gardner, C. Kreuder, D. M. Paradies, K. R. Worcester, D. A. Jessup, E. Dodd, M. D. Harris, J. A. Ames, A. E. Packham and P. A. Conrad. 2002. Coastal freshwater runoff is a risk factor for toxoplasma gondii infection of southern sea otters (enhydra lutris nereis). International Journal for Parasitology 32: 997-1006"
